料理名,カロリー,タンパク質,脂質,炭水化物
親子丼,412,22.4,8.6,63
ビッグマック,525,26,42.6,41.8
サケの塩焼き,187,23.5,4.2,2.7
白米200g,312,5,0.6,74.2
野菜サラダ,17,1.1,0.1,3.8
寿司盛り合わせ（10貫）,611,26.6,10.7,106.5
カレーうどん,396,14.4,8.5,67
生姜焼き,445,25,25,30
ゆで卵,61,5.7,4.7,0.1
納豆,86,7.4,4.5,5.4
お好み焼き,426,12.3,14.8,62.4
豆腐ともやしのお味噌汁,94,7.1,5.2,5.8
ビビンバ,509,25.6,19.5,60.3
牛丼,609,40.2,20.8,65.5
豆腐丼,297,18.6,14.7,23.5
焼肉丼,692,35.1,39.5,48.5
カレー,456,10.3,23.6,49.7
肉じゃが,315,14.2,14.9,33.5
唐揚げ,242,15.4,14.7,12.2
チヂミ,106,3.8,6.2,9.5
プルコギ,345,26.4,20.5,11.4
チャプチェ,316,7.1,17.3,36.9
餃子,267,11.5,14.8,23.7
シュウマイ,56,5.4,2.8,3.3
豚の生姜焼き,328,24.6,21.6,9.1
鶏むねの生姜焼き,160,33.8,2.6,0.8
油淋鶏,363,20.1,25.7,14.6
塩ジャケの塩焼き,142,24,4.2,3.2
野菜炒め,94,3.3,5.4,9.9
肉豆腐,271,21.8,16.2,10.5
てりやきチキン,159,22.2,6.4,3.7
チキン南蛮,325,16.8,23.4,13.4
すき焼き,689,42.3,42.3,25.4
キャベツのかに玉,128,7.7,8.5,5.3
チャーハン,345,11.2,12.6,53.1
野菜たっぷりラーメン,356,14.2,12.7,51.8
焼きそば,482,15.8,19.8,61.1
甘辛チキン,282,18.7,15.9,16.2
ピザ,285,10.1,11.7,32.5
ハンバーグ,291,24.3,18.7,5.2
ハンバーガー,250,13.1,12.7,22.1
カルボナーラパスタ,720,31.5,40.7,59.4
ミートパスタ,514,23.3,17.5,64.5
野菜オムレツ,214,10.1,15.4,10.4
オムライス,484,14.4,25.3,50.2
きゅうりの漬物,10,0.5,0.1,2.1
卵焼き,93,6.7,6.8,2.9
アスパラのベーコン巻き,130,5.6,10.4,5.3
れんこん揚げ,136,1.1,7.8,16.2
豚汁,172,11.4,9.3,12.2
ほうれん草のおひたし,24,3.4,0.4,2.5
豆腐ともやしのピリ辛,158,10.8,10.1,6.6
中華スープ,63,1.5,3.4,6.8
コンスープ,32,0.5,1.8,4.1
コンソメスープ,12,0.5,0.4,2.2
ポテトサラダ,143,1.7,10.3,11.4
シーザーサラダ,192,5.2,16.7,5.3
マヨネーズサラダ,91,0.9,9.2,3
ほうれん草のお浸し,20,2.7,0.3,2.5

